Unit_ID;Device_Name;Device_User_Name;UTC_DateTime;User_DateTime;Location_Type;Latitude;Longitude;LSD;Speed_KPH;Heading;Satellite_Count;Uncertainty;Altitude_M;Battery_Level;GSM_Strength;Message_Protocol;Event_Type;Gas_Type;Shutdown_Reason;Link;Sensor_1_Reading;Sensor_1_Unit;Sensor_1_Gas;Sensor_2_Reading;Sensor_2_Unit;Sensor_2_Gas;Sensor_3_Reading;Sensor_3_Unit;Sensor_3_Gas;Sensor_4_Reading;Sensor_4_Unit;Sensor_4_Gas;Sensor_5_Reading;Sensor_5_Unit;Sensor_5_Gas
3588301834;"Unit 3588301834";;"2024-08-19 03:49:04";"2024-08-18 23:49:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";0.7000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 03:19:04";"2024-08-18 23:19:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";0.7000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 02:49:04";"2024-08-18 22:49:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.0000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 02:19:04";"2024-08-18 22:19:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.4000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 01:49:04";"2024-08-18 21:49:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.0000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 01:19:04";"2024-08-18 21:19:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";0.9000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 00:49:04";"2024-08-18 20:49:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.2000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-19 00:19:04";"2024-08-18 20:19:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";2.0000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-18 23:49:04";"2024-08-18 19:49:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.8000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-18 23:19:04";"2024-08-18 19:19:04";gps;14.6434482;-60.8987417;;0;0;1;;10;60;1;gsm;Location;;;"https://maps.google.com/maps?q=14.6434482;-60.8987417";1.6000;ppm;H2S;;;;;;;;;;;;
3588301834;"Unit 3588301834";;"2024-08-18 23:14:01";"2024-08-18 19:14:01";;;;;;;;;;60;1;gsm;"Logged on";;button_shut_off;;;;;;;;;;;;;;;;
