ref_site;nom;commune;territoire;date;cairnet;cairsens;polluant;mesure;lon;lat;etat;geom
24;Fregate EST 2*;Francois;CAESM;2024-08-12 14:00:00.000;52;H2S-CH4S_077_Q_;H2S;2.596;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 15:00:00.000;52;H2S-CH4S_077_Q_;H2S;1.225;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 15:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 16:00:00.000;52;H2S-CH4S_077_Q_;H2S;1.147;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 16:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 17:00:00.000;52;H2S-CH4S_077_Q_;H2S;1.503;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 17:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 18:00:00.000;52;H2S-CH4S_077_Q_;H2S;2.068;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 18:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 19:00:00.000;52;H2S-CH4S_077_Q_;H2S;2.161;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 19:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 20:00:00.000;52;H2S-CH4S_077_Q_;H2S;3.482;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 20:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-12 21:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.001;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 21:00:00.000;52;H2S-CH4S_077_Q_;H2S;3.162;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 22:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.15;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 22:00:00.000;52;H2S-CH4S_077_Q_;H2S;4.213;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-12 23:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.448;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-12 23:00:00.000;52;H2S-CH4S_077_Q_;H2S;5.923;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 00:00:00.000;52;H2S-CH4S_077_Q_;H2S;3.071;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 00:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.405;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 01:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 01:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.103;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 02:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 02:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.498;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 03:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.642;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 03:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 04:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.453;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 04:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 05:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 05:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.383;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 06:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.24;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 06:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 07:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.212;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 07:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 08:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.115;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 08:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 09:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 09:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.115;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 10:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 10:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.198;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 11:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 11:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.048;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 12:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 12:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.044;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 13:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 13:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.066;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 14:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.055;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 14:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 15:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.046;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 15:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 16:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 16:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.055;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 17:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.076;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 17:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 18:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 18:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.07;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 19:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 19:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.107;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 20:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 20:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.511;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 21:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.643;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 21:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 22:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.38;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-13 22:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-13 23:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-13 23:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.336;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 00:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 00:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.414;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 01:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 01:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.714;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 02:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 02:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.797;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 03:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 03:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.951;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 04:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.717;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 04:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-14 05:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 05:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.78;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 06:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.745;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 06:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 07:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.659;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 07:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 08:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.704;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 08:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 09:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.703;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 09:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-14 10:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 10:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.828;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 11:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 11:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.784;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 12:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 12:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.69;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 13:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.578;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 13:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 14:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.551;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 14:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
24;Fregate EST 2*;Francois;CAESM;2024-08-14 15:00:00.000;52;H2S-CH4S_077_Q_;H2S;0.46;-60.87572467682305;14.60772796531209;false;POINT (728832.5387733867 1616009.90848436)
25;Dostaly*;Francois;CAESM;2024-08-14 15:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-14 16:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
25;Dostaly*;Francois;CAESM;2024-08-14 17:00:00.000;11;H2S-CH4S_026_Q_;H2S;0.0;-60.87264088166222;14.596482537620659;false;POINT (729176.5220555713 1614768.5145497995)
