ref_site;nom;commune;territoire;date;cairnet;cairsens;polluant;mesure;lon;lat;etat;geom
10;Dostaly Sud;Francois;CAESM;2024-08-12 05:00:00.000;35;NH3_060_Q_38370;NH3;0.0;-60.86932545646622;14.593489822711666;true;POINT (729536.9363896516 1614440.6648790783)
3;Pointe Savane;Robert;CAPNord;2024-08-12 05:00:00.000;27;H2S-CH4S_047_Q_;H2S;0.003;-60.90622813154784;14.698053468369197;true;POINT (725452.8860046127 1625975.3374370355)
2;Cosmy;Trinité;CAPNord;2024-08-12 05:00:00.000;15;H2S-CH4S_029_Q_;H2S;0.0;-60.96797049473009;14.75520508037005;true;POINT (718745.0730784156 1632239.1124638)
7;Four Ã  Chaux;Robert;CAPNord;2024-08-12 05:00:00.000;26;H2S-CH4S_052_Q_;H2S;1.535;-60.93466402694282;14.66057548791456;true;POINT (722427.700124373 1621799.6373886666)
18;Pointe Hyacinthe;Robert;CAPNord;2024-08-12 05:00:00.000;25;H2S-CH4S_054_Q_;H2S;0.0;-60.91046061785808;14.663135697936376;true;POINT (725032.6942709787 1622106.904845267)
9;Frégate EST 2;Francois;CAESM;2024-08-12 05:00:00.000;30;H2S-CH4S_053_Q_;H2S;1.28;-60.87551822021473;14.608242006112137;true;POINT (728854.2555474788 1616067.0042495115)
3;Pointe Savane;Robert;CAPNord;2024-08-12 05:00:00.000;27;NH3_047_Q_47197;NH3;0.0;-60.90622813154784;14.698053468369197;true;POINT (725452.8860046127 1625975.3374370355)
12;Chateau Paille;Vauclin;CAESM;2024-08-12 05:00:00.000;33;NH3_057_Q_38409;NH3;0.0;-60.837270572196545;14.552748604849256;true;POINT (733034.474830574 1609964.4764013516)
6;Pontalery Nord;Robert;CAPNord;2024-08-12 05:00:00.000;20;H2S-CH4S_041_Q;H2S;1.054;-60.943135237256726;14.670524816038167;true;POINT (721505.0313768755 1622892.354969173)
7;Four Ã  Chaux;Robert;CAPNord;2024-08-12 05:00:00.000;26;NH3_052_Q_32586;NH3;0.0;-60.93466402694282;14.66057548791456;true;POINT (722427.700124373 1621799.6373886666)
1;Bourg;Marigot;CAPNord;2024-08-12 05:00:00.000;12;H2S-CH4S_033_Q_;H2S;0.0;-61.032592875241605;14.82344882297057;true;POINT (711719.9105886439 1639729.0479091685)
15;Anse Cafard;Diamant;CAESM;2024-08-12 05:00:00.000;29;NH3_051_Q_47189;NH3;0.0;-61.046432192817164;14.468104623019954;true;POINT (710569.2263749122 1600394.4957454286)
6;Pontalery Nord;Robert;CAPNord;2024-08-12 05:00:00.000;20;NH3_041_Q;NH3;0.0;-60.943135237256726;14.670524816038167;true;POINT (721505.0313768755 1622892.354969173)
18;Pointe Hyacinthe;Robert;CAPNord;2024-08-12 05:00:00.000;25;NH3_054_Q_34001;NH3;0.0;-60.91046061785808;14.663135697936376;true;POINT (725032.6942709787 1622106.904845267)
12;Chateau Paille;Vauclin;CAESM;2024-08-12 05:00:00.000;33;H2S-CH4S_057_Q_;H2S;0.67;-60.837270572196545;14.552748604849256;true;POINT (733034.474830574 1609964.4764013516)
15;Anse Cafard;Diamant;CAESM;2024-08-12 05:00:00.000;29;H2S-CH4S_051_Q_;H2S;0.009;-61.046432192817164;14.468104623019954;true;POINT (710569.2263749122 1600394.4957454286)
1;Bourg;Marigot;CAPNord;2024-08-12 05:00:00.000;12;NH3_033_Q_4379;NH3;0.0;-61.032592875241605;14.82344882297057;true;POINT (711719.9105886439 1639729.0479091685)
9;Frégate EST 2;Francois;CAESM;2024-08-12 05:00:00.000;30;NH3_053_Q_33584;NH3;0.0;-60.87551822021473;14.608242006112137;true;POINT (728854.2555474788 1616067.0042495115)
